Elapsed time;Bytes Received per Second;Bytes Sent per Second
15:29:34,0;231.0;94.0
15:29:35,0;231.0;94.0
15:29:36,0;231.0;94.0
15:29:37,0;231.0;94.0
15:29:38,0;231.0;94.0
15:29:39,0;231.0;94.0
15:29:40,0;231.0;94.0
15:29:41,0;462.0;188.0
15:29:42,0;462.0;188.0
15:29:43,0;462.0;188.0
15:29:44,0;231.0;94.0
15:29:45,0;231.0;94.0
15:29:46,0;231.0;94.0
15:29:47,0;231.0;94.0
15:29:48,0;462.0;188.0
15:29:49,0;462.0;188.0
15:29:50,0;462.0;188.0
15:29:51,0;231.0;94.0
15:29:52,0;231.0;94.0
15:29:53,0;231.0;94.0
15:29:54,0;231.0;94.0
15:29:55,0;462.0;188.0
15:29:56,0;462.0;188.0
15:29:57,0;462.0;188.0
15:29:58,0;231.0;94.0
15:29:59,0;231.0;94.0
15:30:00,0;231.0;94.0
15:30:01,0;231.0;94.0
15:30:02,0;462.0;188.0
15:30:03,0;462.0;188.0
15:30:04,0;462.0;188.0
15:30:05,0;231.0;94.0
15:30:06,0;231.0;94.0
15:30:08,0;231.0;94.0
15:30:09,0;231.0;94.0
15:30:10,0;462.0;188.0
15:30:11,0;462.0;188.0
15:30:12,0;462.0;188.0
15:30:13,0;231.0;94.0
15:30:14,0;231.0;94.0
15:30:15,0;231.0;94.0
15:30:16,0;231.0;94.0
15:30:17,0;462.0;188.0
15:30:18,0;462.0;188.0
15:30:19,0;462.0;188.0
15:30:20,0;231.0;94.0
15:30:21,0;231.0;94.0
15:30:23,0;231.0;94.0
15:30:24,0;231.0;94.0
15:30:25,0;462.0;188.0
15:30:26,0;462.0;188.0
15:30:27,0;693.0;282.0
15:30:29,0;231.0;94.0
15:30:30,0;231.0;94.0
15:30:31,0;231.0;94.0
15:30:32,0;462.0;188.0
15:30:33,0;462.0;188.0
15:30:34,0;231.0;94.0
15:30:35,0;462.0;188.0
15:30:37,0;231.0;94.0
15:30:38,0;231.0;94.0
15:30:39,0;231.0;94.0
15:30:40,0;462.0;188.0
15:30:41,0;462.0;188.0
15:30:42,0;462.0;188.0
15:30:43,0;231.0;94.0
15:30:44,0;231.0;94.0
15:30:45,0;231.0;94.0
15:30:46,0;231.0;94.0
15:30:47,0;462.0;188.0
15:30:48,0;231.0;94.0
15:30:49,0;462.0;188.0
15:30:50,0;462.0;188.0
15:30:52,0;231.0;94.0
15:30:53,0;231.0;94.0
15:30:54,0;462.0;188.0
15:30:55,0;462.0;188.0
15:30:56,0;462.0;188.0
15:30:57,0;462.0;188.0
15:30:58,0;231.0;94.0
15:31:00,0;231.0;94.0
15:31:01,0;462.0;188.0
15:31:02,0;462.0;188.0
15:31:03,0;462.0;188.0
15:31:04,0;462.0;188.0
15:31:05,0;231.0;94.0
15:31:07,0;231.0;94.0
15:31:08,0;462.0;188.0
15:31:09,0;462.0;188.0
15:31:10,0;462.0;188.0
15:31:11,0;462.0;188.0
15:31:12,0;231.0;94.0
15:31:14,0;231.0;94.0
15:31:15,0;693.0;282.0
15:31:16,0;231.0;94.0
15:31:17,0;462.0;188.0
15:31:18,0;462.0;188.0
15:31:19,0;231.0;94.0
15:31:21,0;462.0;188.0
15:31:22,0;462.0;188.0
15:31:23,0;462.0;188.0
15:31:24,0;231.0;94.0
15:31:25,0;462.0;188.0
15:31:26,0;231.0;94.0
15:31:28,0;462.0;188.0
15:31:29,0;462.0;188.0
15:31:30,0;231.0;94.0
15:31:31,0;462.0;188.0
15:31:32,0;462.0;188.0
15:31:33,0;231.0;94.0
15:31:34,0;231.0;94.0
15:31:35,0;231.0;94.0
15:31:36,0;462.0;188.0
15:31:37,0;462.0;188.0
15:31:38,0;231.0;94.0
15:31:39,0;462.0;188.0
15:31:40,0;231.0;94.0
15:31:41,0;231.0;94.0
15:31:42,0;231.0;94.0
15:31:43,0;462.0;188.0
15:31:44,0;231.0;94.0
15:31:45,0;462.0;188.0
15:31:46,0;462.0;188.0
15:31:47,0;231.0;94.0
15:31:49,0;462.0;188.0
15:31:50,0;462.0;188.0
15:31:51,0;231.0;94.0
15:31:52,0;462.0;188.0
15:31:53,0;462.0;188.0
15:31:54,0;231.0;94.0
15:31:55,0;231.0;94.0
15:31:56,0;231.0;94.0
15:31:57,0;231.0;94.0
15:31:58,0;231.0;94.0
15:32:00,0;231.0;94.0
