Elapsed time;Config-3
15:35:57,500;7.0
15:35:58,500;8.0
15:35:59,500;9.0
15:36:00,500;10.0
15:36:01,0;10.0
15:36:02,500;10.0
15:36:03,0;10.0
15:36:03,500;10.0
15:36:04,500;10.0
15:36:05,0;10.0
15:36:05,500;10.0
15:36:06,0;10.0
15:36:07,0;10.0
15:36:07,500;10.0
15:36:09,0;10.0
15:36:09,500;10.0
15:36:10,0;10.0
15:36:10,500;10.0
15:36:11,0;10.0
15:36:11,500;10.0
15:36:12,0;10.0
15:36:12,500;10.0
15:36:13,500;10.0
15:36:14,0;10.0
15:36:15,500;10.0
15:36:16,0;10.0
15:36:16,500;10.0
15:36:17,0;10.0
15:36:17,500;10.0
15:36:18,0;10.0
15:36:18,500;10.0
15:36:19,0;10.0
15:36:19,500;10.0
15:36:20,500;10.0
15:36:21,500;10.0
15:36:22,500;10.0
15:36:23,0;10.0
15:36:23,500;10.0
15:36:24,0;10.0
15:36:24,500;10.0
15:36:25,0;10.0
15:36:25,500;10.0
15:36:26,0;10.0
15:36:27,0;10.0
15:36:28,0;10.0
15:36:28,500;10.0
15:36:29,0;10.0
15:36:30,0;10.0
15:36:30,500;10.0
15:36:31,0;10.0
15:36:31,500;10.0
15:36:32,0;10.0
15:36:32,500;10.0
15:36:33,0;10.0
15:36:34,500;10.0
15:36:35,0;10.0
15:36:36,0;10.0
15:36:36,500;10.0
15:36:37,0;10.0
15:36:37,500;10.0
15:36:38,500;10.0
15:36:39,0;10.0
15:36:39,500;10.0
15:36:41,0;10.0
15:36:41,500;10.0
15:36:42,0;10.0
15:36:42,500;10.0
15:36:43,0;10.0
15:36:43,500;10.0
15:36:44,0;10.0
15:36:44,500;10.0
15:36:45,500;10.0
15:36:46,0;10.0
15:36:47,500;10.0
15:36:48,0;10.0
15:36:48,500;10.0
15:36:49,0;10.0
15:36:49,500;10.0
15:36:50,0;10.0
15:36:50,500;10.0
15:36:51,0;10.0
15:36:51,500;10.0
15:36:52,500;10.0
15:36:54,0;10.0
15:36:54,500;10.0
15:36:55,500;10.0
15:36:56,0;10.0
15:36:56,500;10.0
15:36:57,0;10.0
15:36:57,500;10.0
15:36:58,0;10.0
15:36:59,0;10.0
15:37:00,500;10.0
15:37:01,0;10.0
15:37:02,0;10.0
15:37:02,500;10.0
15:37:03,0;10.0
15:37:03,500;10.0
15:37:04,0;10.0
15:37:04,500;10.0
15:37:05,500;10.0
15:37:07,0;10.0
15:37:08,0;10.0
15:37:08,500;10.0
15:37:09,0;10.0
15:37:10,0;10.0
15:37:10,500;10.0
15:37:11,0;10.0
15:37:12,0;10.0
15:37:13,0;10.0
15:37:13,500;10.0
15:37:14,500;10.0
15:37:15,0;10.0
15:37:15,500;10.0
15:37:16,500;10.0
15:37:17,0;10.0
15:37:17,500;10.0
15:37:18,500;10.0
15:37:19,500;10.0
15:37:20,0;10.0
15:37:21,0;10.0
15:37:21,500;10.0
15:37:22,0;10.0
15:37:22,500;10.0
15:37:23,0;10.0
15:37:23,500;10.0
15:37:24,500;10.0
15:37:26,0;10.0
15:37:26,500;10.0
15:37:27,500;10.0
15:37:28,0;10.0
15:37:28,500;10.0
15:37:29,0;10.0
15:37:29,500;10.0
15:37:30,0;10.0
15:37:31,0;10.0
15:37:32,500;10.0
15:37:33,500;10.0
15:37:34,500;10.0
15:37:35,500;10.0
15:37:36,0;10.0
15:37:36,500;10.0
15:37:37,500;10.0
15:37:39,0;10.0
15:37:40,0;10.0
15:37:40,500;10.0
15:37:41,0;10.0
15:37:42,0;10.0
15:37:43,0;10.0
15:37:44,0;10.0
15:37:45,500;10.0
15:37:46,500;10.0
15:37:47,0;10.0
15:37:47,500;10.0
15:37:48,500;10.0
15:37:49,500;10.0
15:37:50,0;10.0
15:37:52,0;10.0
15:37:53,0;10.0
15:37:53,500;10.0
15:37:54,0;10.0
15:37:55,0;10.0
15:37:56,0;10.0
15:37:56,500;10.0
15:37:58,0;10.0
15:37:59,500;9.5
15:38:00,0;8.5
15:38:01,0;8.0
15:38:01,500;7.0
15:38:02,0;7.0
15:38:03,0;6.0
15:38:04,500;4.5
15:38:05,500;3.0
15:38:06,500;2.0
15:38:07,500;1.0
