Elapsed time;Request
15:35:57,500;461.0
15:35:58,500;463.0
15:35:59,500;565.0
15:36:00,500;771.0
15:36:01,0;391.0
15:36:02,500;642.0
15:36:03,0;380.0
15:36:03,500;343.0
15:36:04,500;416.5
15:36:05,0;411.0
15:36:05,500;345.0
15:36:06,0;404.0
15:36:07,0;365.0
15:36:07,500;399.0
15:36:09,0;363.0
15:36:09,500;355.0
15:36:10,0;353.0
15:36:10,500;361.0
15:36:11,0;367.0
15:36:11,500;373.0
15:36:12,0;358.0
15:36:12,500;358.0
15:36:13,500;376.0
15:36:14,0;418.0
15:36:15,500;403.0
15:36:16,0;444.0
15:36:16,500;382.0
15:36:17,0;368.0
15:36:17,500;424.0
15:36:18,0;436.0
15:36:18,500;450.0
15:36:19,0;462.0
15:36:19,500;356.0
15:36:20,500;352.0
15:36:21,500;420.0
15:36:22,500;350.0
15:36:23,0;359.0
15:36:23,500;422.0
15:36:24,0;367.0
15:36:24,500;363.0
15:36:25,0;352.0
15:36:25,500;417.0
15:36:26,0;374.0
15:36:27,0;354.0
15:36:28,0;344.0
15:36:28,500;356.0
15:36:29,0;370.0
15:36:30,0;376.0
15:36:30,500;466.0
15:36:31,0;371.0
15:36:31,500;354.0
15:36:32,0;370.0
15:36:32,500;367.0
15:36:33,0;412.0
15:36:34,500;392.0
15:36:35,0;403.0
15:36:36,0;509.5
15:36:36,500;424.0
15:36:37,0;415.0
15:36:37,500;448.0
15:36:38,500;463.0
15:36:39,0;355.0
15:36:39,500;442.0
15:36:41,0;352.0
15:36:41,500;414.0
15:36:42,0;437.0
15:36:42,500;432.0
15:36:43,0;415.0
15:36:43,500;354.0
15:36:44,0;415.0
15:36:44,500;357.0
15:36:45,500;436.0
15:36:46,0;360.0
15:36:47,500;481.0
15:36:48,0;413.0
15:36:48,500;428.0
15:36:49,0;415.0
15:36:49,500;357.0
15:36:50,0;388.0
15:36:50,500;418.0
15:36:51,0;481.0
15:36:51,500;416.0
15:36:52,500;475.0
15:36:54,0;722.0
15:36:54,500;400.0
15:36:55,500;498.5
15:36:56,0;375.0
15:36:56,500;418.0
15:36:57,0;422.0
15:36:57,500;416.0
15:36:58,0;416.0
15:36:59,0;416.0
15:37:00,500;406.0
15:37:01,0;370.0
15:37:02,0;460.5
15:37:02,500;492.0
15:37:03,0;359.0
15:37:03,500;467.0
15:37:04,0;361.0
15:37:04,500;524.0
15:37:05,500;523.0
15:37:07,0;434.0
15:37:08,0;368.0
15:37:08,500;396.5
15:37:09,0;430.0
15:37:10,0;365.0
15:37:10,500;426.0
15:37:11,0;355.0
15:37:12,0;383.0
15:37:13,0;355.0
15:37:13,500;390.0
15:37:14,500;358.0
15:37:15,0;416.0
15:37:15,500;344.0
15:37:16,500;417.0
15:37:17,0;369.0
15:37:17,500;367.0
15:37:18,500;450.0
15:37:19,500;401.0
15:37:20,0;364.0
15:37:21,0;356.0
15:37:21,500;353.0
15:37:22,0;377.0
15:37:22,500;416.0
15:37:23,0;357.0
15:37:23,500;359.0
15:37:24,500;419.0
15:37:26,0;371.0
15:37:26,500;354.0
15:37:27,500;352.0
15:37:28,0;381.0
15:37:28,500;354.0
15:37:29,0;354.0
15:37:29,500;377.0
15:37:30,0;380.0
15:37:31,0;380.0
15:37:32,500;352.5
15:37:33,500;356.0
15:37:34,500;416.0
15:37:35,500;623.0
15:37:36,0;353.0
15:37:36,500;618.0
15:37:37,500;362.0
15:37:39,0;552.0
15:37:40,0;355.5
15:37:40,500;435.0
15:37:41,0;419.0
15:37:42,0;356.5
15:37:43,0;359.0
15:37:44,0;367.0
15:37:45,500;354.5
15:37:46,500;478.0
15:37:47,0;363.0
15:37:47,500;360.0
15:37:48,500;358.0
15:37:49,500;366.0
15:37:50,0;352.0
15:37:52,0;350.0
15:37:53,0;380.5
15:37:53,500;352.0
15:37:54,0;354.0
15:37:55,0;353.5
15:37:56,0;350.0
15:37:56,500;436.0
15:37:58,0;351.0
15:37:59,500;419.5
15:38:00,0;356.5
15:38:01,0;362.0
15:38:01,500;356.0
15:38:02,0;359.0
15:38:03,0;361.0
15:38:04,500;418.0
15:38:05,500;377.0
15:38:06,500;397.0
15:38:07,500;408.0
