Elapsed time;Config--load
15:42:47,0;36.0
15:42:47,500;36.0
15:42:48,0;36.0
15:42:48,500;36.0
15:42:49,0;36.0
15:42:49,500;36.0
15:42:50,0;36.0
15:42:50,500;36.5
15:42:51,0;37.0
15:42:51,500;37.0
15:42:52,0;37.0
15:42:52,500;37.0
15:42:53,0;37.0
15:42:53,500;37.0
15:42:54,0;37.0
15:42:54,500;37.0
15:42:55,0;37.0
15:42:55,500;38.0
15:42:56,0;38.0
15:42:56,500;38.0
15:42:57,0;38.0
15:42:57,500;38.0
15:42:58,0;38.0
15:42:58,500;38.0
15:42:59,0;38.0
15:42:59,500;38.0
15:43:00,0;38.0
15:43:00,500;39.0
15:43:01,0;39.0
15:43:01,500;39.0
15:43:02,0;39.0
15:43:02,500;39.0
15:43:03,0;39.0
15:43:03,500;39.0
15:43:04,0;39.0
15:43:04,500;39.0
15:43:05,0;39.0
15:43:05,500;40.0
15:43:06,0;40.0
15:43:06,500;40.0
15:43:07,0;40.0
15:43:07,500;40.0
15:43:08,0;40.0
15:43:08,500;40.0
15:43:09,0;40.0
15:43:09,500;40.0
15:43:10,0;40.0
15:43:10,500;41.0
15:43:11,0;41.0
15:43:11,500;41.0
15:43:12,0;41.0
15:43:12,500;41.0
15:43:13,0;41.0
15:43:13,500;41.0
15:43:14,0;41.0
15:43:14,500;41.0
15:43:15,0;41.0
15:43:15,500;42.0
15:43:16,0;42.0
15:43:16,500;42.0
15:43:17,0;42.0
15:43:17,500;42.0
15:43:18,0;42.0
15:43:18,500;42.0
15:43:19,0;42.0
15:43:19,500;42.0
15:43:20,0;42.0
15:43:20,500;43.0
15:43:21,0;43.0
15:43:21,500;43.0
15:43:22,0;43.0
15:43:22,500;43.0
15:43:23,0;43.0
15:43:23,500;43.0
15:43:24,0;43.0
15:43:24,500;43.0
15:43:25,0;43.0
15:43:25,500;44.0
15:43:26,0;44.0
15:43:26,500;44.0
15:43:27,0;44.0
15:43:27,500;44.0
15:43:28,0;44.0
15:43:28,500;44.0
15:43:29,0;44.0
15:43:29,500;44.0
15:43:30,0;44.0
15:43:30,500;45.0
15:43:31,0;45.0
15:43:31,500;45.0
15:43:32,0;45.0
15:43:32,500;45.0
15:43:33,0;45.0
15:43:33,500;45.0
15:43:34,0;45.0
15:43:34,500;45.0
15:43:35,0;45.0
15:43:35,500;45.75
15:43:36,0;46.0
15:43:36,500;46.0
15:43:37,0;46.0
15:43:37,500;46.0
15:43:38,0;46.0
15:43:38,500;46.0
15:43:39,0;46.0
15:43:39,500;46.0
15:43:40,0;46.0
15:43:40,500;46.5
15:43:41,0;47.0
15:43:41,500;47.0
15:43:42,0;47.0
15:43:42,500;47.0
15:43:43,0;47.0
15:43:43,500;47.0
15:43:44,0;47.0
15:43:44,500;47.0
15:43:45,0;47.0
15:43:45,500;47.8
15:43:46,0;48.0
15:43:46,500;48.0
15:43:47,0;48.0
15:43:47,500;48.0
15:43:48,0;48.0
15:43:48,500;48.0
15:43:49,0;48.0
15:43:49,500;48.0
15:43:50,0;48.0
15:43:50,500;48.0
15:43:51,0;49.0
15:43:51,500;49.0
15:43:52,0;49.0
15:43:52,500;49.0
15:43:53,0;49.0
15:43:53,500;49.0
15:43:54,0;49.0
15:43:54,500;49.0
15:43:55,0;49.0
15:43:55,500;49.5
15:43:56,0;50.0
15:43:56,500;50.0
15:43:57,0;50.0
15:43:57,500;50.0
15:43:58,0;50.0
15:43:58,500;50.0
15:43:59,0;50.0
15:43:59,500;50.0
15:44:00,0;50.0
15:44:00,500;51.0
15:44:01,0;51.0
15:44:01,500;51.0
15:44:02,0;51.0
15:44:02,500;51.0
15:44:03,0;51.0
15:44:03,500;51.0
15:44:04,0;51.0
15:44:04,500;51.0
15:44:05,0;51.0
15:44:05,500;52.0
15:44:06,0;52.0
15:44:06,500;52.0
15:44:07,0;52.0
15:44:07,500;52.0
15:44:08,500;52.0
15:44:09,0;52.0
15:44:09,500;52.0
15:44:10,0;52.0
15:44:10,500;53.0
15:44:11,0;53.0
15:44:11,500;53.0
15:44:12,0;53.0
15:44:12,500;53.0
